	RC	RC_subj	RC_subj_pos	relativizer_word	relativizer_func	RC_modifier_head	RC_modifier_NP	RC_location	RC_context	sentence
84052	who lived in the building	who	PRON	who	nsubj	widower	a recent widower	(11, 15)	('widower', '.')	She helped him to rent a room from a recent widower who lived in the building .
84053	in which he confessed his loathing for the game of chess	he	PRON	which	pobj	letter	a letter	(23, 33)	('in', 'and')	After some years of this sport , Landsman sat down at his mother 's typewriter to write his father a letter in which he confessed his loathing for the game of chess , and begged his father not to force him to play anymore .
84054	that also held a fair copy of the unfinished biography of Tartakower	that	DET	that	nsubj	box	a box	(8, 19)	('box', '.')	the fatal letter , in a box that also held a fair copy of the unfinished biography of Tartakower .
84055	that advertises a defunct newspaper , the Blat	that	DET	that	nsubj	clock	an old neon clock	(28, 35)	('clock', '.')	"Emanuel Lasker , "" the Russian says to the two detectives , looking up from the chessboard , by the reception desk , under an old neon clock that advertises a defunct newspaper , the Blat ."
84056	which we mentioned but without	we	PRON	which	dobj	detectives	homicide detectives	(8, 12)	(',', ',')	"In our capacity as homicide detectives , which we mentioned but without , it seems , making much of an impression . """
84057	who wants to smoke a papiros in a room where the habit has been forbidden	who	PRON	who	nsubj	man	a man	(7, 21)	('man', '.')	It is the gesture of a man who wants to smoke a papiros in a room where the habit has been forbidden .
84058	that followed the collapse of the Third Russian Republic	that	DET	that	nsubj	chaos	the chaos	(12, 20)	('chaos', '.')	A recent immigrant , a former convict swept clear of the chaos that followed the collapse of the Third Russian Republic .
84059	who look up to watch them go	them	PRON	who	nsubj	players	the other players	(16, 22)	('players', '.')	Side by side the black hats conduct themselves among the tables , past the other players who look up to watch them go .
84060	that stretches along the top of the narrow alley behind the hotel Einstein	that	DET	that	nsubj	strip	the narrow strip	(11, 23)	('sky', '.')	He looks up at the narrow strip of radiant gray sky that stretches along the top of the narrow alley behind the hotel Einstein .
84061	who disdain and despise you and the authority you represent	you	PRON	who	nsubj	people	people	(13, 22)	('people', '.')	It was a classic ghetto assignment , trying to help and protect people who disdain and despise you and the authority you represent .
84062	that are faithful copies of lost Ukrainian originals	that	DET	that	nsubj	fronts	past house fronts	(3, 10)	('fronts', '.')	past house fronts that are faithful copies of lost Ukrainian originals .
84063	that looks suspiciously like shredded string	that	DET	that	nsubj	tea	loose tea	(14, 19)	('tea', '.')	He pours water into a pot and throws in a fistful of loose tea that looks suspiciously like shredded string .
84064	that profaned it	that	DET	that	nsubj	world	the world	(32, 34)	('world', 'prepare')	Landsman notices then how quiet it is on Verbov Island , in the snow , inside a stone barn , with dark coming on , as the profane week and the world that profaned it prepare to be plunged into the flame of two matched candles .
84065	that both powered the Law and required its elaborate system of drains and sluices	both	DET	that	mark	flow	the messy human flow	(16, 29)	('flow', '.')	No , even as a kid Mendel Shpilman seemed to intuit the messy human flow that both powered the Law and required its elaborate system of drains and sluices .
84066	that could hold and consider contradictory propositions without losing its balance	that	DET	that	nsubj	kind	the kind	(7, 17)	('mind', '.')	He had the kind of mind that could hold and consider contradictory propositions without losing its balance .
84067	that featured his sisters	that	DET	that	nsubj	plays	plays	(12, 15)	('plays', ',')	Mendel was always getting up elaborate pranks and hoaxes , staging plays that featured his sisters , his aunts , the duck .
84068	that Zimbalist recognized as the internalized voice of the Rebbe	Zimbalist	PROPN	that	dobj	expression	a hard little pinched expression	(12, 21)	('face', ',')	Then he got a hard little pinched expression on his face that Zimbalist recognized as the internalized voice of the Rebbe , reminding his son of his duty to serve the community .
84069	that came over him every time Mendel looked at him with his close - set eyes ,	Mendel	PROPN	that	nsubj	sense	a sense	(8, 24)	('vertigo', 'flecked')	Zimbalist could not shake a sense of vertigo that came over him every time Mendel looked at him with his close-set eyes , flecked with pity and gold .
84070	which was on the beach	which	DET	which	nsubj	house	the house	(28, 32)	('house', '.')	I 'm not talking to you , giraffe-packer , mess-maker , and it was foggy in the forest , not by the house which was on the beach .
84071	who dwell upon the earth	who	PRON	who	nsubj	all	all	(7, 11)	('all', '.')	GRANDMOTHER Giraffes are the tallest of all who dwell upon the earth .
84072	that grow high up on the uppermost branches of the camel - thorn tree	that	DET	that	nsubj	leaves	the tender leaves	(6, 19)	('leaves', '.')	They only eat the tender leaves that grow high up on the uppermost branches of the camel-thorn tree .
84073	which she eats with her fingers	she	PRON	which	dobj	plate	the plate	(18, 23)	(',', '.')	( The little girl hands the cup to her grandmother and takes the plate of cake , which she eats with her fingers . )
84074	who have neither mamas nor papas	who	PRON	who	nsubj	orphans	the orphans	(10, 15)	(',', '.')	it 's only ever been to protect the orphans , who have neither mamas nor papas .
84075	that precedes the opera 's famous lullaby	that	DET	that	nsubj	music	the cartoony chase music	(11, 17)	('music', '.')	Music plays-from Brundibar , the manic cartoony chase music that precedes the opera 's famous lullaby .
84076	that has n't even a single picture	that	DET	that	nsubj	score	the boring old score	(13, 19)	('score', 'to')	Put the giraffe safe in the suitcase and toss the boring old score that has n't even a single picture to look at in it out into the street with its flyspeck pages dotted with leopard spots , and yes yes Uncle Rudy will be sad and look at you sadly and he is more handsome than Papa and more fun than Grampa and cleverer than Mama and almost as smart as Grandma no smarter
84077	which marred this young man	which	DET	which	nsubj	terror	terror	(11, 15)	(',', '.')	His 18 years on the reservation were overflowing with terror , which marred this young man .
84078	who was a daily soak	who	PRON	who	nsubj	father	his father	(3, 7)	('father', ',')	Unlike his father who was a daily soak , his lips rarely touched a drop of alcohol , and he was n't into drugs .
84079	who had grown up at a very young age	who	PRON	who	nsubj	boy	a strong boy	(7, 15)	(',', '.')	He was a strong boy , who had grown up at a very young age .
84080	that he received	he	PRON	that	dobj	mail	all the junk mail	(18, 20)	('mail', '.')	Every day when he logged on and checked his email , he erased all the junk mail that he received .
84081	who participated in the battle	who	PRON	who	nsubj	warriors	the Lakota warriors	(22, 26)	('warriors', '.')	We are currently covering the Battle of the Little Bighorn , and I was looking into the descendants of the Lakota warriors who participated in the battle .
84082	which would lead to their meeting and touring of the reservation	which	DET	which	nsubj	email	email	(12, 22)	(',', '.')	They would go on to form a relationship by email , which would lead to their meeting and touring of the reservation .
84083	which helped him to better define his character	him	PRON	which	nsubj	basis	a daily basis	(12, 19)	(',', '.')	Yamni would also see Ted Thunder Shield on a daily basis , which helped him to better define his character .
84084	which silences the passers for the moment	which	DET	which	nsubj	them	them	(15, 21)	(',', '.')	My eyes are tired from the night 's cold , and I shut them , which silences the passers for the moment .
84085	which was all I had	I	PRON	which	nsubj	shawl	her my shawl	(5, 9)	(',', '.')	her my shawl instead , which was all I had . <p
84086	whose carcass lay on a carpet of pine needles just a few meters away	carcass	NOUN	whose	poss	elk	the slain elk	(10, 23)	('elk', '.')	The tender muscle was fresh from the slain elk whose carcass lay on a carpet of pine needles just a few meters away .
84087	that checkered the tabletop	that	DET	that	nsubj	bottles	the dark impenetrable bottles	(13, 16)	('booze', '.')	Its dull shadow of light barely illuminated the dark impenetrable bottles of booze that checkered the tabletop .
84088	that flared in my gut like a blowtorch	that	DET	that	nsubj	anger	the anger	(9, 16)	('anger', '.')	Goose bumps emerged on my arms from the anger that flared in my gut like a blowtorch .
84089	that we offered as a gesture of thanks	we	PRON	that	dobj	bag	the bag	(7, 14)	('oranges', 'lay')	Meanwhile , the bag of oranges that we offered as a gesture of thanks lay untouched in our aunt 's kitchen .
84090	that curled toward home	that	DET	that	nsubj	road	the road	(59, 62)	('road', '.')	We could have just as well have been at one of the many dinner parties hosted by refugees back in Michigan , where the yelling went on and on all through the night and where I as a child would remind my drunk father to stay to the right of the yellow line as he drove on the road that curled toward home .
84091	that went darting around inside my head	that	DET	that	nsubj	thoughts	the thoughts	(8, 14)	('feelings', ',')	Too frazzled to tackle the thoughts and feelings that went darting around inside my head , I wisped them away and instead allowed them safe passage , let them attach themselves to the inner walls of my head like embryonic moth cocoons preparing for birth .
84092	who boasted at having terrorized and murdered several neighborhood Jews	who	PRON	who	nsubj	men	army buddiesproud men	(25, 34)	('men', '.')	"Although not exactly part of our itinerary , we were at a "" party "" among our cousin 's friends and Lithuanian army buddiesproud men who boasted at having terrorized and murdered several neighborhood Jews ."
